,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3186,Spencer Dinwiddie,Dallas Mavericks,31:21,10,14,0.714,2,4,0.5,2,4,0.5,0,4,4,5,1,0,2,1,24,17,31:21,0.761,0.786,0.286,0.286,0.0,12.0,6.9,32.3,1.6,0.0,11.3,25.9,141.0,107.0,20220227
3187,Dāvis Bertāns,Dallas Mavericks,21:03,2,6,0.333,2,6,0.333,1,1,1.0,0,3,3,0,0,1,0,0,7,15,21:03,0.543,0.5,1.0,0.167,0.0,13.4,7.7,0.0,0.0,4.4,0.0,14.0,111.0,107.0,20220227
3188,Maxi Kleber,Dallas Mavericks,18:19,1,5,0.2,0,2,0.0,0,1,0.0,1,5,6,1,1,1,0,1,2,2,18:19,0.184,0.2,0.4,0.2,6.9,25.7,17.7,7.2,2.7,5.0,0.0,13.6,63.0,96.0,20220227
3189,Josh Green,Dallas Mavericks,13:10,3,4,0.75,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,2,6,12,13:10,0.75,0.75,0.0,0.0,0.0,14.3,8.2,0.0,0.0,0.0,33.3,20.9,89.0,108.0,20220227
3190,Sterling Brown,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220227
3191,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220227
3192,Frank Ntilikina,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220227
3193,Team Totals,Dallas Mavericks,240,39,78,0.5,13,34,0.382,16,20,0.8,6,39,45,16,5,7,18,18,107,0,240,0.616,0.583,0.436,0.256,15.8,76.5,50.6,41.0,5.2,13.5,17.2,100.0,110.7,104.5,20220227
3194,Dorian Finney-Smith,Dallas Mavericks,39:26,6,10,0.6,3,7,0.429,1,3,0.333,2,7,9,2,1,1,1,3,16,3,39:26,0.707,0.75,0.7,0.3,5.7,21.8,13.4,7.2,1.3,2.5,8.1,14.0,134.0,109.0,20220301
3195,Luka Dončić,Dallas Mavericks,37:47,9,21,0.429,0,5,0.0,7,11,0.636,1,7,8,5,1,2,6,1,25,-4,37:47,0.484,0.429,0.238,0.524,3.0,22.8,12.4,21.5,1.3,5.3,18.8,37.8,89.0,106.0,20220301
